Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
The Couples Trip,"**Swedish Academy of Crime Writers' Award Best Debut of the Year** **Shortlisted for the Crimetime Award 2022** Two couples set out together on a hiking trip that goes terrifyingly wrong in this addictive psychological thriller for fans of Ruth Ware and Lucy Foley. Anna, Henrik and Milena's annual hiking trip is just around the corner. This year, however, Anna and Henrik have a hard time saying no when Milena asks if her boyfriend, Jacob, can tag along. The hike soon spirals into mayhem when the three friends come to realize that taking Jacob was a decision that could change their lives forever. From the austere mountaintops of northern Sweden, this highly anticipated thriller traverses through the unexplored wilderness--here, there's nowhere to run and nowhere to hide.","Crime & Thriller , Thriller","Kvensler, Ulf",Harlequin Enterprises ULC,2023,400,1.199 Денари
Penance,"One of Granta's Best Young British Novelists 2023 ""Eliza Clark's writing embraces the socially unacceptable and wryly explores themes of gender, power, and violence.""--Granta's Best of Young British Novelists 2023 ""Chilling, clever, and unputdownable.""--Guardian From the author of the cult hit Boy Parts comes a chilling, brilliantly told story of murder among a group of teenage girls--a powerful and disturbing novel as piercing in its portrait of young women as Emma Cline's The Girls. On a beach in a run-down seaside town on the Yorkshire coastline, sixteen-year-old Joan Wilson is set on fire by three other schoolgirls. Nearly a decade after the horrifying murder, journalist Alec Z. Carelli has written the definitive account of the crime, drawn from hours of interviews with witnesses and family members, painstaking historical research, and most notably, correspondence with the killers themselves. The result is a riveting snapshot of lives rocked by tragedy, and a town left in turmoil. But how much of the story is true? Compulsively readable, provocative, and disturbing, Penance is a cleverly nuanced, unflinching exploration of gender, class, and power that raises troubling questions about the media and our obsession with true crime while bringing to light the depraved side of human nature and our darkest proclivities.","Crime & Thriller , Thriller","Clark, Eliza",HarperCollinsPublishers,2023,327,1.699 Денари
The Midnight Game,"Rules of The Midnight Game: Do not turn on the lights. Do not go to sleep. Do not leave the building. When a group who have met on a creepy Deddit thread decide to meet in real life, they only have one plan in mind: they are going to summon the Midnight Man. And once you start the Midnight Game, you must finish it - there's no other way out! Six strangers. One night. But how many survivors? From thriller-horror YA queen, Cynthia Murphy, author of Last One To Die and TIKTOK MADE ME BUY IT Win Lose Kill Die, comes her third nail-biting novel about CreepyPasta. Perfect for fans of Karen McManus, Kathryn Foxfield and slasher horror movies like Candyman. With six-character points-of-view, Deddit threads, newspaper articles and DMs, this pacy thriller will keep you awake and guessing until the very last page. PRAISE FOR MIDNIGHT GAME ""If Karen McManus and Stephen King wrote a book together, this would be it!"" - Instagram review ""The CEO of plot twists"" - Praise from BookTok community ""Terrifying and mesmerising"" - Rosie Talbot, author of Sixteen Souls ""So deliciously creepy and atmospheric!"" - Amy McCaw, author of Mina and the Undead series","Crime & Thriller , Thriller","Murphy, Cynthia",Scholastic Inc.,2023,400,699 Денари
Verity : The thriller that will capture your heart and blow your mind,"OVER 3 MILLION COPIES SOLD - THE NO.1 BESTSELLER AND TIKTOK SENSATION, FROM THE AUTHOR OF IT ENDS WITH US Are you ready to stay up all night? Rebecca meets Gone Girl in this shocking, unpredictable thriller with a twist that will leave you reeling . . . Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night their family was forever altered. Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents would devastate the already-grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her . . . If you loved Verity, don't miss the special collector's edition golden hardback coming this autumn, including an exclusive never-before-seen final chapter. Available to order now. 500,000 READERS HAVE ALREADY GIVEN VERITY FIVE STARS 'One of the best thrillers I have ever read' ***** 'Powerful, mind-blowing and emotional' ***** 'The plot twists and that ending came out of nowhere' ***** 'There are no words. Bravo' ***** 'Dark, creepy, and one hundred per cent original' ***** 'I NEEDED to know how this was going to end' ***** 'Left me completely speechless' ***** VERITY was a No.1 Kindle bestseller on 18.03.22","Crime & Thriller , Thriller","Hoover, Colleen","Little, Brown Book Group",2022,336,799 Денари
Anthem,"Epic... Apart from being the Emmy award-winning creator of the superb television series Fargo, the American author Noah Hawley is a talented deviser of high-class literary thrillers... It's a fabulous worst-of-all-fears scenario... Hawley attacks his narrative from a broad, TV drama-ish viewpoint, assembling a large, intercutting cast of characters' - The Sunday Times 'Noah Hawley taps into our existential anxiety- and transforms it into a hefty page-turner that's equal parts horrific, catastrophic and, at times, strangely entertaining' - New York Times 'Terrifyingly good... Hawley is such an experienced storyteller...this book is nothing if not art imitating life' - Irish Sunday Independent From the visionary bestselling author of Before the Fall and The Good Father, an epic literary thriller set where America is right now . . . and the world will be tomorrow. America spins into chaos as the last remnants of political consensus break apart. Against a background of environmental disaster and opioid addiction, debate descends into violence and militias roam the streets - while teenagers across the world seem driven to self-destruction, communicating by memes only they can understand. Yet the markets still tick up and the super-rich, like Ty Oliver, fly above the flames in private jets. After the death of his daughter, Ty dispatches his son Simon to an Anxiety Abatement Center. There he encounters another boy called the Prophet. And the Prophet wants him to join a quest. Before long, Simon is on the road with a crew of new comrades on a rescue mission as urgent as it is enigmatic. Suddenly heroes of their own story, they are crossing the country in search of a young woman held in a billionaire's retreat - and, just possibly, the only hope of escape from the apocalypse bequeathed to them by their parents' generation. Noah Hawley's epic literary thriller, full of unforgettably vivid characters, finds unquenchable lights in the darkest corners. Uncannily topical and yet as timeless as a Grimm's fairy tale, this is a novel of excoriating power, raw emotion and narrative verve, confirming Hawley as one of the most essential writers of our time. 'Hawley makes this sing by combining the social commentary of a Margaret Atwood novel with the horrors of a Stephen King book' - Publishers Weekly * * * PRAISE FOR NOAH HAWLEY: 'He has an intuitive understanding of human behaviour and an instinctive grasp of plot that make him a master storyteller' Guardian 'An addictive thriller whose thematic richness is reminiscent of Franzen' The Sunday Times 'Hawley's sublime prose glows on every page' Daily Mail 'A thriller of masterful precision' Independent 'High-class entertainment' Mail on Sunday 'One of the year's best suspense novels' New York Times","Crime & Thriller , Thriller","Hawley, Noah",Hodder & Stoughton,2022,448,1.199 Денари
The Lonely Ones,"One of the best Nordic Noir writers' - Guardian A trip behind the Iron Curtain would change their lives forever . . . It begins in 1969. Six young people arrive in Uppsala, Sweden. Different circumstances push the three young couples together and, over the course of a few years, they become friends. But a summer trip through Eastern Europe changes everything, and when their time at Uppsala University is over it also signals the end of something else. Years later, a lecturer at Lund University is found dead at the bottom of a cliff in the woods close to Kymlinge. And chillingly, it is the very same spot where one of the Uppsala students died thirty-five years before. Detective Inspector Gunnar Barbarotti takes on this ominous case of history repeating itself, and is forced to confront an increasingly grave reality. The Lonely Ones is the fourth novel of Hakan Nesser's quintet about Inspector Gunnar Barbarotti.","Crime & Thriller , Thriller","Nesser, Hakan",Pan Macmillan,2022,608,699 Денари
Picture You Dead,"The eighteenth Detective Superintendent Roy Grace novel from the highly acclaimed number one bestselling author, Peter James.","Crime & Thriller , Thriller","James, Peter",Pan Macmillan,2022,464,1.099 Денари
Mercy,"Mercy is the gripping follow up to Long Road to Mercy, A Minute to Midnight and Daylight featuring Special Agent Atlee Pine from one of the world's most favourite thriller writers, David Baldacci. THE HUNT IS FINALLY OVER. FBI agent Atlee Pine is at the end of her long journey to discover what happened to her twin sister, Mercy, who was abducted when the girls were just six years old - an incident which destroyed her family and left Atlee physically and mentally scarred. She knew her sister and parents were out there somewhere. And she had to find them. Dead or alive. Atlee and her assistant, Carol Blum, discover the truth. But the truth hurts. And hurt makes you tough. So how tough do you have to be to forgive? As they uncover a shocking trail of lies, greed, fear and revenge, they must face one final challenge. A challenge more deadly and dangerous than they could ever have imagined.","Crime & Thriller , Thriller","Baldacci, David",Pan Macmillan,2022,576,499 Денари
State of Terror,"A Sunday Times and New York Times Bestseller! 'A rip-roaring, brilliant page-turner, but it's also timely, cheeky, important and wonderfully, courageously provocative. What great fun!' - James Patterson 'Smart and fast and twisty, State of Terror is a dazzlingly unpredictable political thriller. I loved it' - Kathy Reichs State of Terror is a compelling and critically acclaimed international political thriller co-written by Hillary Rodham Clinton, the 67th secretary of state, and Louise Penny, a multiple award-winning #1 New York Times bestselling novelist. Take a ringside seat in the high-stakes world of international politics . . . After a tumultuous period in American politics, a new administration has just been sworn in. Secretary of State, Ellen Adams, is determined to do her duty for her country. But she is about to face a horrifying international threat . . . A young foreign service officer has received a baffling text from an anonymous source. Too late, she realizes it was a hastily coded warning. Then a series of bus bombs devastate Europe, heralding the rise of a new rogue terrorist organization who will stop at nothing in their efforts to develop their own nuclear arsenal. As Ellen unravels the damaging effects of the former presidency on international politics, she must also contemplate the unthinkable: that the last president of the United States was more than just an ineffectual leader. Was he also a traitor to his country? ________________________ Praise for State of Terror: 'Clinton and Penny are each a force on their own - put together they are unstoppable' - Karin Slaughter 'This is as close as you'll get to being in the White House Situation Room with a secretary of state.' - The Times 'Fast-paced and packed with insider knowledge.' - Daily Mail 'The perfect political thriller . . . a glimpse into the world of our most powerful politicians.' - Ann Cleeves","Crime & Thriller , Thriller","Clinton, Hillary Rodham",Pan Macmillan,2022,512,699 Денари
The Accomplice,"A gripping psychological thriller on the bonds of friendship and the cost of breaking them, from the New York Times bestselling author of The Passenger and the Spellman Files. Everyone has the same questions about best friends Owen and Luna: What binds the","Crime & Thriller , Thriller","Lutz, Lisa",Titan Books Ltd,2022,448,699 Денари
Dark Objects,"Count to three,' her mother told her, the last words she would ever speak. An Impossible Crime Scene A wealthy woman is found brutally murdered in the locked fortress of her London mansion. Surrounding her are four mysterious objects, including a book on f","Crime & Thriller , Thriller","Toyne, Simon",HarperCollins Publishers,2022,416,899 Денари
Portrait of an Unknown Woman,"In a spellbinding new masterpiece by #1 New York Times-bestselling author Daniel Silva, Gabriel Allon undertakes a high-stakes search for the greatest art forger who ever lived Legendary spy and art restorer Gabriel Allon has at long last severed ties with","Crime & Thriller , Thriller","Silva, Daniel",HarperCollins Publishers,2022,448,1.499 Денари
My Husband's Murder,"So compulsive, chillingly suspenseful' LOUISE O'NEILL 'Brilliant - so atmospheric' DEBBIE HOWELLS 'Kept me gripped until the very last page' LINDSEY KELK Previously published as The Murder of Graham Catton It's time to hear the truth... Ten years ago, Hann","Crime & Thriller , Thriller","Lowe, Katie",HarperCollins Publishers,2022,448,699 Денари
Insomnia,"In the dead of night, madness lies... Emma can't sleep. CHECK THE WINDOWS It's been like this since her big 4-0 started getting closer. LOCK THE DOORS Her mother stopped sleeping just before her 40th birthday too. She went mad and did the unthinkable becau","Crime & Thriller , Thriller","Pinborough, Sarah",HarperCollins Publishers,2022,352,1.099 Денари
All For You,"A galloping pulse-pounder' Heat '[A] gripping thriller . . . with perfectly observed emotions and red herrings that will boggle the mind' Woman & Home 'A full-blown, brilliantly plotted and written novel, with a clarity and originality that is wonderfully","Crime & Thriller , Thriller","Jensen, Louise",HarperCollins Publishers,2022,416,699 Денари
The Judas Tree,"Childhood betrayal casts a long shadow... From the author of The Haven and The Cliff House, this is a devastating thriller set in a Cornish boarding school. 'A gripping page-turner' Tammy Cohen, author of The Wedding Party At a bleak boys' boarding school","Crime & Thriller , Thriller","Jennings, Amanda",HarperCollins Publishers,2022,352,699 Денари
The Girl in the Castle,Thrill seekers will be absorbed by this exciting story' Kirkus 'Nobody does it better.' Jeffery Deaver 'James Patterson is The Boss. End of.' Ian Rankin ____________________________ My Name is Hannah Dory and I need you to believe me Now: Hannah is brought,"Crime & Thriller , Thriller","Patterson, James",Cornerstone,2022,368,699 Денари
Never,"The Sunday Times Thriller of the Month Expertly researched and visionary in scale, international number one bestseller Ken Follett's Never is more than a thriller. It imagines a scenario we all hope never comes true, one which will keep you transfixed until the final page . . . 'Stunning . . . one of the most compelling reads of the year' - Daily Express A stolen US army drone. A shrinking oasis in the Sahara Desert. A secret stash of deadly chemicals. Each is a threat to global stability. Each can be overcome with only the highest levels of diplomacy. But when those in charge disagree and refuse to back down, an international chain reaction kicks off with potentially catastrophic consequences: a world edging closer to war . . . Now three people must work with the utmost skill to stop that from happening: A spy working undercover with jihadis. A brilliant Chinese spymaster. A US president beleaguered by a populist rival for the next election. The only question is - in a game of brinksmanship, can the inevitable ever be stopped? 'Bold in scale and meticulously researched' - Sunday Times 'Probably his best yet' - Stephen King 'Urgent and fiercely compelling' - The Washington Post More than 175 million copies sold worldwide. Published in over eighty territories and thirty-seven languages. The international no.1 bestselling phenomenon returns.","Crime & Thriller , Thriller","Follett, Ken",Pan Macmillan,2022,832,599 Денари
Date with Death,"Meet two sleuths from a sleepy Yorkshire village as they investigate murders and discover the secrets behind the twitching curtains. Date with Death is the first cosy crime novel in Julia Chapman's Dales Detective series, perfect for fans of Richard Osman's The Thursday Murder Club and M. C. Beaton. Samson O'Brien has been dismissed from the police force, and returns to his hometown of Bruncliffe in the Yorkshire Dales to set up the Dales Detective Agency. However, the villagers aren't that welcoming to a man they see as trouble. Delilah Metcalfe is struggling to keep her business, the Dales Dating Agency, afloat as well as trying to control her wayward dog, Tolpuddle, when Samson's first case - a supposed suicide - takes an unexpected turn, and a trail of deaths lead back to the door of Delilah's agency. With suspicion hanging over someone they both care for, the two feuding neighbours soon realize that they need to work together to solve the mystery of the dating deaths. But working together is easier said than done . . . Full of wit, warmth and characters you'll care about, continue the murder mystery series with Date with Malice. 'A classic whodunit set in the spectacular landscape of the Yorkshire Dales . . . A satisfying read riddled with dry Yorkshire humour (and dry-stone walls)' - Cath Staincliffe, author of the Scott & Bailey series.","Crime & Thriller , Thriller","Chapman, Julia",Pan Macmillan,2022,400,699 Денари
Dream Town,"Killer twists. Heroes to believe in. Trust Baldacci. Private Investigator and WWII veteran, Aloysius Archer, returns to solve a new case in Hollywood in this riveting thriller from international number 1 bestselling author, David Baldacci. All that glitters . . . 1952, Los Angeles. It is New Year's Eve and PI Aloysius Archer is dining with his friend and rising Hollywood actress Liberty Callahan when they're approached by Eleanor Lamb, a screenwriter who would like to hire him, as she suspects someone is trying to kill her. Murder and mystery A visit to Lamb's Malibu residence leaves Archer knocked unconscious after he stumbles over a dead body in the hallway; and Lamb seems to have vanished. With the police now involved in the case, a close friend and colleague of Lamb's employs Archer to find out what's happened to the screenwriter. The City of Angels - or somewhere much, much darker? Archer's investigation takes him from the rich, glamorous and glitzy LA to the seedy, dark side of the city, and onward to the gambling mecca of Las Vegas, just now hitting its stride as a hot spot for celebrities and a money-making machine for the mob. In a place where cops and crooks work hand in hand, Archer will cross paths with Hollywood stars, politicians and notorious criminals. He'll almost die several times, and he'll discover bodies and secrets from the canyons and beaches of Malibu and the luxurious mansions of Bel Air and Beverly Hills to the narcotics clubs of Chinatown. With the help of Liberty and his PI partner Willie Dash, Archer will risk everything and leave no stone unturned in finding the missing Eleanor Lamb, and in bringing to justice killers who would love nothing better than to plant Archer six feet under.","Crime & Thriller , Thriller","Baldacci, David",Pan Macmillan,2022,576,499 Денари
Take Your Breath Away,A missing woman. A husband suspected. The truth will ... Take Your Breath Away Linwood Barclay is... 'A suspense master' Stephen King 'In a class of his own' T.M. Logan 'One of the finest thriller writers in the world' Mark Billingham It's always the husba,"Crime & Thriller , Thriller","Barclay, Linwood",HarperCollins Publishers,2022,464,699 Денари
Such a Good Mother,"SOME THINGS ARE TOO PERFECT TO BE TRUE... 'A sharp, compelling take on modern motherhood' HEAT 'A nail-biting, dark thriller' PLATINUM 'Fiendishly entertaining... A suspenseful and unsettling cautionary tale' PUBLISHERS WEEKLY *** Rose O'Connell aspires to","Crime & Thriller , Thriller","Takhar, Helen Monks",HarperCollins Publishers,2022,416,1.099 Денари
Sweet Revenge,Two gripping novellas from the No.1 international bestselling author Women Without Mercy Ingrid gave up her career to support her husband. Now he's having an affair. Birgitta is avoiding the doctor. No one can see the bruises her husband leaves. Victoria l,"Crime & Thriller , Thriller","Lackberg, Camilla",HarperCollins Publishers,2022,240,699 Денари
Mirrorland,"DARK AND DEVIOUS' Stephen King 'UTTERLY ENGROSSING' Daily Mail 'TWISTY AND RICHLY ATMOSPHERIC' Ruth Ware 'TIGHTLY PLOTTED AND UTTERLY GRIPPING' Sarah Pinborough 'A HAUNTING THRILLER' Women's Weekly 'TOTALLY ABSORBING' T.M. Logan 'AN UNSETTLING, LABYRINTHIN","Crime & Thriller , Thriller","Johnstone, Carole",HarperCollins Publishers,2022,432,699 Денари
Lucky,"I devoured it.' Erin Kelly 'An exhilarating voice' Adele Parks 'Unbelievably tense and twisty.' Laura Marshall Lucky Rachel Edwards The more she wins, the more she loses... 'Absorbing, unsettling, unflinching. I've been thinking about it for days and I'll","Crime & Thriller , Thriller","Edwards, Rachel",HarperCollins Publishers,2022,320,699 Денари
Magpie,"Completely, terrifyingly BRILLIANT' Marian Keyes, author of Grown Ups 'I didn't want it to end' Lisa Taddeo, author of Three Women and Animal 'Magnificent: I read it in one sitting' Kate Mosse, author of The City of Tears When Marisa meets Jake, everything","Crime & Thriller , Thriller","Day, Elizabeth",HarperCollins Publishers,2022,336,699 Денари
Her Last Holiday,"From the Sunday Times and Richard & Judy Book Club bestselling author, comes a thrilling, suspenseful tale that will leave you breathless. 'An absolute belter of a novel' ELIZABETH HAYNES 'A sensational novel!' GILLIAN MCALLISTER You come to Soul Shrink to","Crime & Thriller , Thriller","Taylor, C.L.",HarperCollins Publishers,2022,400,699 Денари
The Whisper House : A Rose Gifford Book,"The incredible new novel from C.S. Green - featuring Detective Rose Gifford Something terrible happened in that house... 'An enthralling, multi-layered crime novel that fans of Peter James and Lisa Jewell will adore' MARK EDWARDS 'This dark and tightly plo","Crime & Thriller , Thriller","Green, C S",HarperCollins Publishers,2022,288,1.099 Денари
The Guilty Couple,"Wow. Addictive. And what an ending!' - Sunday Times bestselling author Claire Douglas 'A red-hot, non-stop rollercoaster of a book' - Sunday Times bestselling author Lisa Jewell What would you do if your husband framed you for murder? Five years ago, Olivi","Crime & Thriller , Thriller","Taylor, C.L.",HarperCollins Publishers,2022,352,999 Денари
Femlandia,"The gripping new thriller from the bestselling author of VOX and Q 'A compelling, fast paced read.' Guardian 'The queen of dystopia' Nina Pottell, Prima 'Explosive' Heat 'Provocative, sinister, and fascinating' Stephanie Wrobel, Sunday Times bestselling au","Crime & Thriller , Thriller","Dalcher, Christina",HarperCollins Publishers,2022,336,699 Денари
Other Parents,"They all have opinions. They all have secrets. 'Both funny and engaging while tackling some serious stuff' Jane Fallon 'Deft, wry and perceptive, this drama targets class and modern parenting' Daily Mail 'Set to be one of the most talked-about books of 202","Crime & Thriller , Thriller","Stovell, Sarah",HarperCollins Publishers,2022,400,699 Денари
Trapped,"An incredible new thriller you won't want to put down! A shocking murder... It's a case unlike anything detective Mina Dabiri has seen before. A woman trapped inside a magician's box, with swords pierced through. But this time, it's not a magic trick. It's","Crime & Thriller , Thriller","L?ckberg, Camilla",HarperCollins Publishers,2022,544,899 Денари
Cry Wolf,"From the multi-award winning author of The Bridge (BBC) and Marcella (Netflix, ITV) comes a blockbuster new thriller... A DEAD WOLF A DRUG DEAL GONE WRONG A LETHAL FEMALE ASSASSIN Hannah Wester, a detective in the remote northern Swedish town of Haparanda,","Crime & Thriller , Thriller","Rosenfeldt, Hans",HarperCollins Publishers,2022,384,899 Денари
Cry Wolf,"From the multi-award winning author of The Bridge (BBC) and Marcella (Netflix, ITV) comes a blockbuster new thriller... A DEAD WOLF A DRUG DEAL GONE WRONG A LETHAL FEMALE ASSASSIN Hannah Wester, a detective in the remote northern Swedish town of Haparanda,","Crime & Thriller , Thriller","Rosenfeldt, Hans",HarperCollins Publishers,2022,384,699 Денари
Who's Lying Now?,"Don't miss the captivating new page-turner from Sunday Times bestselling author Susan Lewis You think you know your neighbours. When Jeannie Symonds vanishes without a trace, her small town is thrown into disarray. You think you know who to trust. Cara Jak","Crime & Thriller , Thriller","Lewis, Susan",HarperCollins Publishers,2022,496,699 Денари
The Cellist,"Master of international intrigue Daniel Silva follows up his acclaimed #1 New York Times bestsellers The Order, The New Girl, and The Other Woman with this riveting, action-packed tale of espionage and suspense featuring art restorer and spy Gabriel Allon.","Crime & Thriller , Thriller","Silva, Daniel",HarperCollins Publishers,2022,480,499 Денари
Breakneck Point,"A gripping new crime series for fans of Val McDermid, Jane Casey and Cara Hunter 'Gold-standard crime writing' Erin Kinsley 'An impressive start in an exciting new series' The Sun 'Authentic and atmospheric' Adele Parks, Platinum 'Packed with authenticity'","Crime & Thriller , Thriller","Munro, T. Orr",HarperCollins Publishers,2022,400,899 Денари
So Happy For You,"Bridesmaids meets Black Mirror in the most twisted and entertaining thriller of 2022. 'A firecracker of a book' Micah Nemerever, author of These Violent Delights 'Ridiculously addictive to read. Wildly creative and wickedly funny' Laurie Elizabeth Flynn, a","Crime & Thriller , Thriller","Laskey, Celia",HarperCollins Publishers,2022,304,899 Денари
